news_id,title,content,full_story_link,meneos,clicks,karma,positive_votes,anonymous_votes,negative_votes,category,comments,published_date,user,source,source_link,scraped_date,provincia,comunidad
4038173,Así está recuperando Rusia terreno en Kursk frente a Ucrania | Vídeos | EL PAÍS,El analista de Defensa Guillermo Pulido y el experto en relaciones internacionales Antonio Alonso explican los avances del Ejército de Putin en la región,https://meneame.net/story/asi-esta-recuperando-rusia-terreno-kursk-frente-ucrania-videos,0,1379.0,355,56,51,1,Política y Sociedad,59,2025-03-15 09:20:04,cocolisto,elpais.com,https://elpais.com/videos/2025-03-14/asi-esta-recuperando-rusia-terreno-en-kursk-frente-a-ucrania.html,2025-03-15 19:12:42,,
4037736,Cómo grabar y denunciar llamadas spam a la Agencia Española de Protección de Datos,"Cómo grabar y denunciar llamadas spam a la Agencia Española de Protección de Datos, porque esto es algo que la AEPD permite hacer. Aunque la nueva Ley General de Telecomunicaciones dice que para hacer llamadas comerciales deben tener tu permiso, debes ser cliente o debe ser de interés público, esto no ha detenido a muchas empresas que se la están saltando.",https://meneame.net/story/como-grabar-denunciar-llamadas-spam-agencia-espanola-proteccion,0,2328.0,348,99,142,6,Entretenimiento y Cultura,71,2025-03-15 08:40:06,yarkyark,xataka.com,https://www.xataka.com/basics/como-grabar-denunciar-llamadas-spam-a-agencia-espanola-proteccion-datos,2025-03-15 19:12:42,,
4038160,"Trump promete abiertamente ""limpiar"" el Departamento de Justicia y encarcelar a sus enemigos políticos y mediáticos [EN]","“Echaremos a las fuerzas corruptas de nuestro gobierno. Vamos a exponer sus crímenes atroces y su grave conducta. Será legendario. Basura de los tribunales, jueces corruptos y fiscales trastornados. Son mala gente, son gente realmente mala”.",https://meneame.net/story/trump-promete-abiertamente-limpiar-departamento-justicia,0,504.0,364,137,226,1,Política y Sociedad,97,2025-03-15 07:55:05,Icelandpeople,youtube.com,https://www.youtube.com/watch?v=068BgoAdw4o,2025-03-15 19:12:42,,
4038169,"La IA de Elon Musk irrumpe en X a favor de los demócratas: ""Los datos pesan más que las afiliaciones políticas""","El sistema Grok, desarrollado por el magnate, se convierte en un crítico más de sus políticas en los debates de la red social, llegando incluso a ironizar con la crisis de Tesla",https://meneame.net/story/ia-elon-musk-irrumpe-x-favor-democratas-datos-pesan-mas,0,990.0,382,97,148,1,Tecnología y Ciencia,64,2025-03-15 07:15:05,Livingstone85,eldiario.es,https://www.eldiario.es/tecnologia/ia-elon-musk-irrumpe-x-favor-democratas-datos-pesan-afiliaciones-politicas_1_12133300.html,2025-03-15 19:12:42,,
4038162,"La primera generación sin hijos se prepara para el ""fantasma de la vejez"": el 20% de adultos de 55 a 64 años no han sido padres",La tasa de personas sin hijos es el doble entre menores de 65 años que entre mayores de 75 y en los próximos años irá a más.,https://meneame.net/story/primera-generacion-sin-hijos-prepara-fantasma-vejez-20-adultos,0,1614.0,350,112,135,0,Política y Sociedad,172,2025-03-15 06:40:02,NubisMusic,elperiodico.com,https://www.elperiodico.com/es/sociedad/20250312/generacion-sin-hijos-vejez-dependencia-114793254,2025-03-15 19:12:42,,
4038135,Se anuncia la evacuación obligatoria en ocho localidades de la región de Sumy debido a la escalada de la situación,"El Consejo de Defensa de la provincia de Sumy ha decidido llevar a cabo la evacuación obligatoria de los residentes de ocho asentamientos de Yunakivka y Myropillia, en el distrito de Sumy. Artiukh señaló que algunos residentes han firmado negaciones y no tienen intención de evacuar. Instó a la población a priorizar su seguridad y abandonar la zona.",https://meneame.net/story/anuncia-evacuacion-obligatoria-ocho-localidades-region-sumy,0,1559.0,350,41,45,0,Política y Sociedad,49,2025-03-15 05:55:02,Heni,pravda.com.ua,https://www.pravda.com.ua/eng/news/2025/03/13/7502786/,2025-03-15 19:12:44,,
4038148,"Las fiestas en colegios y su entorno deberán celebrarse sin promoción, venta ni consumo de alcohol","El Gobierno aprueba la ley de prevención del consumo de alcohol en menores. La futura ley prohíbe el consumo a menores y a adultos en lugares donde la presencia de menores sea mayoritaria (fiestas de fin de curso en patios de centros escolares). Además, la ministra ha indicado que las máquinas de autoservicio deberán contar con mecanismos que impidan la adquisición de bebidas a menores.  Se prohíbe el patrocinio de bebidas alcohólicas y el emplazamiento de cualquier publicidad a menos de 150 metros de centros educativos, sanitarios, parques.",https://meneame.net/story/fiestas-colegios-entorno-deberan-celebrarse-sin-promocion-venta,0,415.0,324,83,95,0,Política y Sociedad,66,2025-03-15 05:10:07,tropezon,diariodehuelva.es,https://www.diariodehuelva.es/articulo/area-metropolitana/alcohol/20250314104535324269.html,2025-03-15 19:12:44,,
4038127,"El lugar de Galicia que maravilló a Julio Verne y fue su inspiración en 'Veinte mil leguas de viaje submarino""","La primera visita de Julio Verne a Vigo tuvo lugar en 1878, cuando un temporal le impidió seguir por su travesía hacia el Mediterráneo y le obligó a tomar tierra. Algo similar le sucedería cuando volvió en mayo de 1884, pero en esta ocasión por una avería en su barco, el Saint Michelle II, que sería arreglado en un taller que, curiosamente, construiría un submarino años después.",https://meneame.net/story/lugar-galicia-maravillo-julio-verne-fue-inspiracion-veinte-mil,0,1038.0,353,41,60,0,Entretenimiento y Cultura,10,2025-03-15 04:20:02,Larpeirán,eldiario.es,https://www.eldiario.es/viajes/lugar-galicia-jules-verne-inspiracion-veinte-mil-leguas-viaje-submarino-pm_1_12134210.html,2025-03-15 19:12:44,,
4038172,"EEUU expulsa al embajador de Sudáfrica acusándolo de ""odiar"" a Donald Trump","Estados Unidos anunció que expulsará al embajador de Sudáfrica en Washington, declaró el viernes el secretario de Estado, Marco Rubio, acusándolo ""de odiar al país y al presidente"" Donald Trump.",https://meneame.net/story/eeuu-expulsa-embajador-sudafrica-acusandolo-odiar-donald-trump,0,404.0,350,98,149,0,Política y Sociedad,25,2025-03-15 03:30:02,totenburgh,swissinfo.ch,"https://www.swissinfo.ch/spa/eeuu-expulsa-al-embajador-de-sudáfrica-acusándolo-de-""odiar""-a-donald-trump/89013184",2025-03-15 19:12:44,,
4038138,"El ""Dpto. de Eficiencia Gubernamental"" de Musk suprime 10.000 puestos de trabajo en USPS [Correos], porque no hay nada más ""eficiente"" que suprimir servicios esenciales [Ing]","En la carta obtenida por The Associated Press, el Director General de Correos saliente, Louis DeJoy, decía que había llegado a un acuerdo con Musk para identificar y lograr ""más eficiencia"" en el USPS: ""Este esfuerzo se alinea con nuestras iniciativas; aunque hemos logrado mucho, queda mucho por hacer"", decía. ""Le pido que por favor se comprometa con el Servicio Postal, nuestros representantes de DOGE y las agencias federales que necesitan adaptarse a los cambios críticamente necesarios involucrados y corregir las deficiencias del pasado que…""",https://meneame.net/story/dpto-eficiencia-gubernamental-musk-suprime-10-000-puestos-usps,0,376.0,355,82,147,2,Política y Sociedad,38,2025-03-15 02:40:03,JanSmite,dailykos.com,https://www.dailykos.com/stories/2025/3/14/2310170/-Gutless-Postal-Service-chief-bends-to-DOGE-with-10-000-job-cuts,2025-03-15 19:12:44,,
